TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614439906,2/27/2021 15:31,40.42725372,1,1,1,1,30.61570168,26
1614440266,2/27/2021 15:37,40.49134064,1,1,1,1,30.60235023,26
1614440626,2/27/2021 15:43,40.52948761,1,1,1,1,30.58899879,26
1614440986,2/27/2021 15:49,40.50202179,1,1,1,1,30.57564735,26
1614441346,2/27/2021 15:55,40.52948761,1,1,1,1,30.57564735,26
1614441706,2/27/2021 16:01,40.55542755,1,1,1,1,30.57564735,26
1614442066,2/27/2021 16:07,40.56916046,1,1,1,1,30.57564735,26
1614442546,2/27/2021 16:15,40.63477707,1,1,1,1,30.55962372,26
1614442906,2/27/2021 16:21,40.67444992,1,1,1,1,30.55962372,26
1614443266,2/27/2021 16:27,40.64850998,1,1,1,1,30.55962372,26
1614443626,2/27/2021 16:33,40.71259689,1,1,1,1,30.53292084,26
1614443986,2/27/2021 16:39,40.74006271,1,1,1,1,30.55962372,26
1614444346,2/27/2021 16:45,40.77973557,1,1,1,1,30.54627228,26
1614444706,2/27/2021 16:51,40.83619308,1,1,1,1,30.55962372,26
1614445066,2/27/2021 16:57,40.83466721,1,1,1,1,30.53292084,26
1614445426,2/27/2021 17:03,40.91249084,1,1,1,1,30.5195694,26
1614445786,2/27/2021 17:09,40.99183655,1,1,1,1,30.53292084,26
1614446146,2/27/2021 17:15,41.0315094,1,1,1,1,30.5195694,26
1614446506,2/27/2021 17:21,41.0818634,1,1,1,1,30.4741745,26
1614446866,2/27/2021 17:27,41.20546341,1,1,1,1,30.48752594,26
1614447226,2/27/2021 17:33,41.25581741,1,1,1,1,30.4741745,26
1614447586,2/27/2021 17:39,41.31074905,1,1,1,1,30.48752594,26
1614447946,2/27/2021 17:45,41.41298676,1,1,1,1,30.44480133,26
1614448306,2/27/2021 17:51,41.55031586,1,1,1,1,30.46082306,26
1614448666,2/27/2021 17:57,41.61745453,1,1,1,1,30.46082306,26
1614449026,2/27/2021 18:03,41.60066986,1,1,1,1,30.43144798,26
1614449386,2/27/2021 18:09,41.70595932,1,1,1,1,30.43144798,26
1614449746,2/27/2021 18:15,42.03860474,1,1,1,1,30.40207481,26
1614450106,2/27/2021 18:21,42.09353638,1,1,1,1,30.40207481,26
1614450466,2/27/2021 18:27,42.2232399,1,1,1,1,30.37537193,26
1614450826,2/27/2021 18:33,42.30411148,1,1,1,1,30.36202049,26
1614451186,2/27/2021 18:39,42.45059967,1,1,1,1,30.36202049,26
1614451546,2/27/2021 18:45,42.56046295,1,1,1,1,30.36202049,26
1614451906,2/27/2021 18:51,42.59708405,1,1,1,1,30.33264732,26
1614452266,2/27/2021 18:57,42.62149811,1,1,1,1,30.33264732,26
1614452626,2/27/2021 19:03,42.76646042,1,1,1,1,30.30594254,26
1614452986,2/27/2021 19:09,42.83207321,1,1,1,1,30.30594254,26
1614453346,2/27/2021 19:15,42.87174606,1,1,1,1,30.27656937,26
1614453706,2/27/2021 19:21,42.96482849,1,1,1,1,30.26321793,26
1614454066,2/27/2021 19:27,43.09757996,1,1,1,1,30.26321793,26
1614454426,2/27/2021 19:33,43.09147644,1,1,1,1,30.22049332,26
1614454786,2/27/2021 19:39,43.26543045,1,1,1,1,30.20714188,26
1614455146,2/27/2021 19:45,43.334095,1,1,1,1,30.20714188,26
1614455506,2/27/2021 19:51,43.40886688,1,1,1,1,30.16441536,26
1614455866,2/27/2021 19:57,43.45769501,1,1,1,1,30.13771248,26
1614456226,2/27/2021 20:03,43.38903046,1,1,1,1,30.10833931,26
1614456826,2/27/2021 20:13,43.48058319,1,1,1,1,30.10833931,26
